,_id,单价_2018_07_01,周边价格,地理位置,楼盘名称,网址
949,5b38d729c3666eb3a3342830,7500,无,[ 浐灞 - 纺织城 ] 纺渭路与长乐东路十字西北角（城东客运站东侧）,华阳玲珑苑,https://xa.fang.anjuke.com/loupan/410410.html
950,5b38d729c3666eb3a5342818,住宅11000元/㎡,无,"[ 城东 - 咸宁路 ] 纺南路,近半引路",融创璟园,https://xa.fang.anjuke.com/loupan/431694.html
951,5b38d72ac3666eb3a7342828,待定,15652,"[ 城北 - 大明宫 ] 玄武路,近凝晖巷",保利樾公馆,https://xa.fang.anjuke.com/loupan/414233.html
952,5b38d72ac3666eb3a0342828,14000,无,[ 曲江区 - 曲江新区 ] 曲江大道与曲江池北路交汇处,汉华城甜心广场,https://xa.fang.anjuke.com/loupan/252934.html
953,5b38d72ac3666eb3a1342828,14000元/㎡,无,[ 经济开发区 - 文景路沿线 ] 朱宏路民经一路与民经二路交汇处,湖北大厦,https://xa.fang.anjuke.com/loupan/413577.html
954,5b38d72bc3666eb3a9342830,住宅4700元/㎡,无,[ 西咸新区 - 沣西新城 ] 世纪大道中段55号（清华科技园南区）,启迪国际城逸居,https://xa.fang.anjuke.com/loupan/242533.html
955,5b38d72bc3666eb3a6342820,待定,15101,[ 城北 - 大明宫 ] 含元路北侧，八府庄北路北端，距太华路200米,紫薇东进,https://xa.fang.anjuke.com/loupan/244566.html
956,5b38d72bc3666eb3a4342810,8900,23667,[ 长安 - 秦岭 ] 长安沣峪口盘道以西一公里,南山庭院,https://xa.fang.anjuke.com/loupan/242744.html
957,5b38d72cc3666eb3a3342834,8300,无,[ 城东 - 东二环 ] 朝阳门外长乐西路1号（长乐西路与环城东路十字东北角）,朝阳新世界,https://xa.fang.anjuke.com/loupan/413565.html
958,5b38d72dc3666eb3a2342818,待定,11181,[ 城北 - 朱宏路 ] 北二环与永全路交叉口,保亿公元印,https://xa.fang.anjuke.com/loupan/439400.html
959,5b38d72ec3666eb3a9342834,7936,无,[ 城南 - 南门 ] 省人大办公楼南侧（长安路与体育馆路交汇处）,南门国际,https://xa.fang.anjuke.com/loupan/242824.html
960,5b38d72ec3666eb3a834282c,18500,无,[ 高新 - 科技路 ] 团结南路与科技四路东北角,高新NEWORLD,https://xa.fang.anjuke.com/loupan/412304.html
961,5b38d72fc3666eb3a6342824,待定,15225,[ 长安 - 航天基地 ] 长安长安神舟三路,天赐颐府商铺,https://xa.fang.anjuke.com/loupan/410792.html
962,5b38d72fc3666eb3a734282c,待定,6406,[ 西安周边 - 渭南 ] 富平县频阳大道以东南环路以南,万科地建滨河四季,https://xa.fang.anjuke.com/loupan/433319.html
963,5b38d72fc3666eb3a534281c,待定,12960,[ 经济开发区 - 文景路沿线 ] 凤城八路136号（西安市政府对面）,保亿隆基中心,https://xa.fang.anjuke.com/loupan/413562.html
964,5b38d72fc3666eb3a034282c,商住8600元/㎡,无,[ 城东 - 东二环 ] 长乐西路41号,长乐大厦,https://xa.fang.anjuke.com/loupan/272902.html
965,5b38d730c3666eb3a8342830,12000元/㎡变价通知我,无,[ 西安周边 - 蓝田 ] 南河桥桥东(紧邻西商高速蓝田出入口处),天鹅湖商铺,https://xa.fang.anjuke.com/loupan/410793.html
966,5b38d730c3666eb3a4342814,商住20000元/㎡,无,"[ 城南 - 小寨 ] 丁白路,近含光路",美苑楼尚,https://xa.fang.anjuke.com/loupan/406043.html
967,5b38d730c3666eb3a134282c,12500,无,[ 高新 - 高新路 ] 锦业一路与丈八三路十字西南角,宝德云谷国际,https://xa.fang.anjuke.com/loupan/413560.html
968,5b38d731c3666eb3a6342828,待定,15000,[ 城南 - 电子城 ] 清凉山森林公园内（朱雀大街与西部大道十字西北角）,清凉山居,https://xa.fang.anjuke.com/loupan/417041.html
969,5b38d731c3666eb3a3342838,住宅7857元/㎡,无,[ 城南 - 电子城 ] 含光南路与电子一路交汇处（含光南路与电子一路十字）,新领地,https://xa.fang.anjuke.com/loupan/242545.html
970,5b38d731c3666eb3a0342830,待定,9735,"[ 城西 - 三桥 ] 阿房四路,近武警路",锦尚云天古镇,https://xa.fang.anjuke.com/loupan/297697.html
971,5b38d731c3666eb3a234281c,待定,8266,[ 泾渭 - 泾渭工业园 ] 城北桑军大道与西金路交汇西北角100米处,龙江国际城,https://xa.fang.anjuke.com/loupan/242819.html
972,5b38d731c3666eb3a9342838,"

                        住宅                                                    6463元/㎡                        
                                                                
",无,[ 城西 - 枣园路 ] 城西枣园西路城西客运站西行800米路北（冶金医院西侧）,万国远鉴名筑,https://xa.fang.anjuke.com/loupan/245780.html
973,5b38d733c3666eb3a334283c,120,无,[ 西安周边 - 宝鸡 ] 太白山国际旅游度假区汤峪二路50号,太白熙岸,https://xa.fang.anjuke.com/loupan/418918.html
974,5b38d733c3666eb3a634282c,10500,无,[ 城北 - 北二环 ] 北二环中段369号（明珠家具对面）,华帝金座,https://xa.fang.anjuke.com/loupan/272873.html
975,5b38d734c3666eb3a0342834,4500,无,[ 城西 - 昆明路 ] 昆明路石桥立交西出口,立丰昆明时光,https://xa.fang.anjuke.com/loupan/246378.html
976,5b38d734c3666eb3a7342830,商住22000元/㎡变价通知我,无,[ 城南 - 电视塔 ] 南三环,南飞鸿广场,https://xa.fang.anjuke.com/loupan/297396.html
977,5b38d734c3666eb3a5342820,7000,无,[ 浐灞 - 灞河 ] 灞柳一路与纺园三路交汇处,香榭水岸,https://xa.fang.anjuke.com/loupan/249556.html
978,5b38d734c3666eb3a1342830,待定,10914,[ 高新 - 锦业路 ] 郭杜十字向南3公里（西沣路路西）,紫杉庄园,https://xa.fang.anjuke.com/loupan/272951.html
979,5b38d734c3666eb3a3342840,待定,13657,[ 高新 - 锦业路 ] 高新西沣路与西部大道十字交汇处向东200米路南,紫郡国韵,https://xa.fang.anjuke.com/loupan/431036.html
980,5b38d735c3666eb3a4342818,6701,无,[ 经济开发区 - 常青二路 ] 经开长庆基地对面（凤城五路与未央路交汇处以东100米处），,海棠花园,https://xa.fang.anjuke.com/loupan/242850.html
981,5b38d735c3666eb3a8342834,住宅13500元/㎡,无,"[ 经济开发区 - 常青二路 ] 凤城六路,近开元路",麟凤尊汇,https://xa.fang.anjuke.com/loupan/248925.html
982,5b38d736c3666eb3a0342838,住宅3400元/㎡,无,[ 西安周边 - 杨凌 ] 兴平市南关西路49号,海威财富广场,https://xa.fang.anjuke.com/loupan/297516.html
983,5b38d737c3666eb3a7342834,8200,无,[ 经济开发区 - 行政中心 ] 经开凤城五路与太华路十字向东500米路南,万科幸福里,https://xa.fang.anjuke.com/loupan/297537.html
984,5b38d737c3666eb3a1342834,待定,13313,[ 城北 - 北二环 ] 太华北路大明宫万达北200米,华远锦悦中心,https://xa.fang.anjuke.com/loupan/411357.html
985,5b38d737c3666eb3a2342820,3260,无,[ 长安 - 大学城 ] 长安南街徐家寨地铁站口南300米,广天苑,https://xa.fang.anjuke.com/loupan/242603.html
986,5b38d737c3666eb3a6342830,20000,无,"[ 城南 - 电子城 ] 丈八东路,近子午大道",立丰城市生活广场,https://xa.fang.anjuke.com/loupan/297381.html
987,5b38d737c3666eb3a934283c,别墅230万元/套起变价通知我,无,[ 西安周边 - 户县 ] 正太路与秦岭三路交叉口（南侧300米）,海航草堂山居,https://xa.fang.anjuke.com/loupan/425416.html
988,5b38d737c3666eb3a034283c,18000,无,[ 泾渭 - 泾渭工业园 ] 南环东路昭慧广场西侧,龙发昭慧天街,https://xa.fang.anjuke.com/loupan/420135.html
989,5b38d737c3666eb3a434281c,待定,15652,[ 城北 - 大明宫 ] 公交六公司专用道南侧,大唐星河苑,https://xa.fang.anjuke.com/loupan/244600.html
990,5b38d738c3666eb3a5342824,7500,无,"[ 城北 - 未央大学城 ] 阳光大道,近向上路",倚能维兰德小镇,https://xa.fang.anjuke.com/loupan/244560.html
991,5b38d738c3666eb3a3342844,住宅8990元/㎡,无,[ 高新 - 大寨路 ] 唐延路与大寨路十字向西100米,融侨城,https://xa.fang.anjuke.com/loupan/242718.html
992,5b38d739c3666eb3a8342838,4700,无,[ 泾渭 - 泾渭工业园 ] 陕汽大道1号（泾渭南路与泾渭1路交汇处),天正银河湾,https://xa.fang.anjuke.com/loupan/242750.html
993,5b38d739c3666eb3a4342820,待定,13657,[ 城西 - 大兴新区 ] 玉祥门向北1公里红庙坡十字西南角,龙湖MOCO国际,https://xa.fang.anjuke.com/loupan/244386.html
994,5b38d73ac3666eb3a3342848,待定,8266,[ 泾渭 - 泾渭工业园 ] 长庆东路与泾渭八路交汇处（东南角400米处）,水半湾,https://xa.fang.anjuke.com/loupan/297668.html
995,5b38d73ac3666eb3a5342828,待定,13681,"[ 浐灞 - 浐河 ] 浐灞二路,近北辰东路",天朗蔚蓝东庭,https://xa.fang.anjuke.com/loupan/250282.html
996,5b38d73ac3666eb3a6342834,待定,15130,[ 城东 - 东二环 ] 东元西路11号,上和郡,https://xa.fang.anjuke.com/loupan/251902.html
997,5b38d73ac3666eb3a0342840,待定,11009,[ 城西 - 三桥 ] 阿房路与阿房一路交汇处向北200米,梧桐年华,https://xa.fang.anjuke.com/loupan/252955.html
998,5b38d73ac3666eb3a834283c,待定,16463,[ 西安周边 - 临潼 ] 凤凰池东路和芷阳五路东南角,中海阅骊山,https://xa.fang.anjuke.com/loupan/437122.html
999,5b38d73bc3666eb3a7342838,23050,无,[ 曲江区 - 曲江新区 ] 神舟四路与航开路十字交汇处西南角,科为城墅,https://xa.fang.anjuke.com/loupan/437379.html
1000,5b38d73cc3666eb3a334284c,待定,无,[ 浐灞 - 浐河 ] 长乐东路与东三环交汇处西南角（浐河西岸）,沁水新城,https://xa.fang.anjuke.com/loupan/242779.html
1001,5b38d73cc3666eb3a2342824,待定,无,[ 城南 - 电子城 ] 雁塔区丈八东路与东仪路十字南300米路西（东仪路西侧）,中建群星汇,https://xa.fang.anjuke.com/loupan/242977.html
1002,5b38d73cc3666eb3a4342824,待定,11231,[ 浐灞 - 灞河 ] 纺渭路与柳莺路十字向东200米（南邻纺北路）,易合坊,https://xa.fang.anjuke.com/loupan/242712.html
1003,5b38d73cc3666eb3a734283c,6500,无,[ 城北 - 北二环 ] 未央路与玄武路十字（地铁二号线大明宫地铁站西口）,创鸿果粒城二期,https://xa.fang.anjuke.com/loupan/242874.html
1004,5b38d73dc3666eb3a1342838,商住43000元/㎡,无,[ 城内 - 火车站 ] 顺城北路与顺城东路交汇处,皇城坊,https://xa.fang.anjuke.com/loupan/417136.html
1005,5b38d73dc3666eb3a9342840,11500,无,[ 城东 - 东二环 ] 长乐西路128号,华东万悦城写字楼,https://xa.fang.anjuke.com/loupan/436871.html
1006,5b38d73dc3666eb3a8342840,待定,7500,[ 泾渭 - 泾渭工业园 ] 长庆东路与泾渭八路十字西南角,当代上品湾MOMΛ,https://xa.fang.anjuke.com/loupan/406044.html
1007,5b38d73ec3666eb3a4342828,待定,11706,[ 浐灞 - 唐都医院 ] 电厂西路,美庐雅苑,https://xa.fang.anjuke.com/loupan/297480.html
1008,5b38d73fc3666eb3a2342828,9400,无,[ 经济开发区 - 行政中心 ] 未央路与凤城九路交汇处东北角,万科金域华府,https://xa.fang.anjuke.com/loupan/246308.html
1009,5b38d73fc3666eb3a6342838,住宅10000元/㎡,无,"[ 长安 - 大学城 ] 韦曲北街,近长安南路",一品学府,https://xa.fang.anjuke.com/loupan/297378.html
1010,5b38d73fc3666eb3a9342844,6000,无,[ 浐灞 - 浐河 ] 半坡路电力机械厂家属院西侧（紧临东三环）,明林庭苑,https://xa.fang.anjuke.com/loupan/242690.html
1011,5b38d73fc3666eb3a0342844,别墅32000元/㎡,无,[ 长安 - 秦岭 ] 沣峪口西环山路南高冠河畔,群贤别业,https://xa.fang.anjuke.com/loupan/248687.html
1012,5b38d740c3666eb3a534282c,20000元/㎡,无,[ 高新 - 锦业路 ] 锦业一路与丈八二路十字,永威时代中心,https://xa.fang.anjuke.com/loupan/412551.html
1013,5b38d741c3666eb3a134283c,14500,无,[ 高新 - 大寨路 ] 团结南路12号（唐兴路与团结南路交汇处向南200米路西高新医院北侧）,GTTower西安国际人才大厦,https://xa.fang.anjuke.com/loupan/244460.html
1014,5b38d741c3666eb3a234282c,待定,11149,[ 城北 - 自强西路 ] 自强西路68号,皇城九号,https://xa.fang.anjuke.com/loupan/408596.html
1015,5b38d741c3666eb3a0342848,待定,无,[ 城南 - 南二环 ] 朱雀大街72号,合能朱阙,https://xa.fang.anjuke.com/loupan/252809.html
1016,5b38d741c3666eb3a7342840,5400,无,[ 西咸新区 - 沣东新城 ] 世纪大道蓝马啤酒场环岛北200米（渭河大桥东侧）,亿龙金河湾,https://xa.fang.anjuke.com/loupan/242705.html
1017,5b38d741c3666eb3a3342850,待定,14050,[ 高新 - 大寨路 ] 大寨路,华洲城云顶,https://xa.fang.anjuke.com/loupan/424139.html
1018,5b38d742c3666eb3a9342848,待定,19500,[ 高新 - 大寨路 ] 团结南路,中建国熙台,https://xa.fang.anjuke.com/loupan/250050.html
1019,5b38d743c3666eb3a034284c,待定,11458,[ 城南 - 文艺路 ] 文艺北路165号,乐府国际公寓,https://xa.fang.anjuke.com/loupan/242990.html
1020,5b38d743c3666eb3a7342844,5000,无,[ 城西 - 大兴新区 ] 大兴新区桃园北路357号（原小白杨路东侧）,爱情公寓,https://xa.fang.anjuke.com/loupan/297708.html
1021,5b38d743c3666eb3a8342844,待定,19641,[ 曲江区 - 曲江新区 ] 雁南一路与慈恩西路十字东南角,源著商务,https://xa.fang.anjuke.com/loupan/415107.html
1022,5b38d744c3666eb3a434282c,待定,14500,[ 长安 - 航天基地 ] 东长安街与神舟四路十字东南角,星河9号,https://xa.fang.anjuke.com/loupan/438975.html
1023,5b38d744c3666eb3a2342830,待定,16463,"[ 西安周边 - 临潼 ] 凤凰大道,近芷阳四路",绿地骊山花城,https://xa.fang.anjuke.com/loupan/416148.html
1024,5b38d745c3666eb3a634283c,待定,16036,[ 高新 - 鱼化寨 ] 丈八北路与科技六路十字东南角,保利爱尚里,https://xa.fang.anjuke.com/loupan/414574.html
1025,5b38d745c3666eb3a5342830,待定,11210,[ 城内 - 东大街 ] 城内东大街132号（东二道巷/百盛对面）,东方紫韵,https://xa.fang.anjuke.com/loupan/297463.html
1026,5b38d746c3666eb3a0342850,住宅8500元/㎡,无,[ 曲江区 - 曲江新区 ] 曲江大道与曲江三路交汇口东200米（龙湖紫都城北邻）,大豐曲江真境,https://xa.fang.anjuke.com/loupan/242688.html
1027,5b38d746c3666eb3a8342848,8441,无,[ 城西 - 土门 ] 西二环团结中路（小树林旁）,翡丽城,https://xa.fang.anjuke.com/loupan/242551.html
1028,5b38d746c3666eb3a934284c,5350,无,[ 城东 - 东二环 ] 东二环北段矿山路中段989号,翠屏湾3期巴厘小镇,https://xa.fang.anjuke.com/loupan/242934.html
1029,5b38d746c3666eb3a6342840,"

                        住宅                                                    8000元/㎡                        
                                                

                            变价通知我
                        

",无,[ 西安周边 - 安康 ] 安康市滨江大道西城阁东汉江大剧院东侧,恒大御景半岛,https://xa.fang.anjuke.com/loupan/439262.html
1030,5b38d746c3666eb3a3342854,待定,13974,"[ 高新 - 锦业路 ] 西部大道,近文苑中路",融创西安宸院,https://xa.fang.anjuke.com/loupan/417226.html
1031,5b38d747c3666eb3a1342840,15000,无,"[ 城南 - 电子城 ] 广场北路,近西部大道",明威橡树湾,https://xa.fang.anjuke.com/loupan/250030.html
1032,5b38d747c3666eb3a2342834,3529,无,[ 泾渭 - 泾渭工业园 ] 泾渭五路中段（高新泾河学校旁）,水岸花城,https://xa.fang.anjuke.com/loupan/242785.html
1033,5b38d747c3666eb3a0342854,待定,16000,[ 西咸新区 - 秦汉新城 ] 泾渭大道和同律路交汇西北角,中天诚品珑玺,https://xa.fang.anjuke.com/loupan/404098.html
